COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
477,4400000249,NAB NILLA VANILLA WA,12 OZ,12,1276050
477,4400000250,NAB NILLA VANILLA WA,7.25 O,6,1276100
477,4400000261,SPRING OREO,20 OZ,12,9813040
477,4400000264,SPRING OREO MULTI PA,10.8 O,12,9813080
477,4400000271,~OREO SNACK PACKS,8.5 OZ,12,1277670
477,4400000282,~SNACKWELL'S CHOC TR,7.5,12,1277610
477,4400000298,FAT FREE NEWTON STRW,2.1 OZ,48,1277420
477,4400000301,SNACKWELL'S FF DEVIL,1.1 OZ,48,1277430
477,4400000335,NABISCO     LORNA DO,10 OZ,12,1277500
477,4400000336,~MINI CHIPS AHOY SNA,8 OZ,12,1277690
480,4400000338,~RITZ BITS CHS SNDW,8 OZ,12,1274540
477,4400000347,DIZZY GRIZZLIES CHOC,10 OZ,12,1277070
477,4400000348,DIZZY GRIZ VANILLA G,10 OZ,12,1277090
477,4400000352,NABISCO IMPORTED DAN,14 OZ,36,9812850
477,4400000356,~NAB ORIG APPLE NEWT,12 OZ,12,1278900
477,4400000365,NABISCO OLDFASH GING,16 OZ,6,1276150
477,4400000379,NAB BARNUMS ANIMALS,2 OZ,24,1274080
477,4400000387,NEWTON APPLE CINN CO,11 OZ,12,1277360
477,4400000388,NEWTON PEACH APRICOT,11 OZ,12,1277370
477,4400000450,ALMOST HOME CHOCOLAT,12 OZ,12,1279310
477,4400000451,ALMST HME FDGE CHOC,12 OZ,12,1279120
477,4400000453,ALMOST HOME OATMEAL,12 OZ,12,1279320
477,4400000455,ALMST HM PNT BTR FDG,12 OZ,12,127909
477,4400000474,NILLA WAFERS REDUCED,11 OZ,12,1277000
477,4400000475,REDUCED FAT NILLA WA,11 OZ,12,1277010
477,4400000498,SNACKWELL'S CHOC CHR,6.5 OZ,12,1277840
477,4400000500,SNACKWELLS APLE RSN,6.5 OZ,12,1277790
477,4400000502,SNACKWELL'S BANANA S,6.5 OZ,12,1277850
477,4400000504,NABISCO OREO BROWNIE,6.5 OZ,12,1277660
477,4400000508,NAB CKIES & FDGE STR,11.5OZ,12,1278020
477,4400000516,NABISCO  OREO CRM SA,16 OZ,12,1277570
477,4400000527,NABISCO FIG NEWTONS,16 OZ,12,1277300
480,4400000540,TRISCUIT THIN CRISP,8.5 OZ,12,1277190
477,4400000550,NABISCO CHIPS AHOY C,12 OZ,12,1276620
477,4400000551,NABISCO CHIPS AHOY,18 OZ,12,1276650
477,4400000575,NABISCO DEVILS FOOD,8 OZ,12,1277150
477,4400000576,HEALTHY CHOICE APRIC,5.75 O,12,1274820
477,4400000577,HC CINNAMON RAISIN B,5.75 O,12,1274830
477,4400000580,HEALTHY CHOICE RASPB,5.75 O,12,1274800
477,4400000581,HEALTHY CHOICE FUDGE,4.25 O,12,1274810
477,4400000585,NAB PECAN SHORTBREAD,13 OZ,12,1277950
477,4400000616,NABISCO   OREO DOUBL,16 OZ,12,1277590
477,4400000620,NABISCO CHOCOLATE MI,6 OZ,12,1275960
477,4400000635,NAB COOKIE BREAK VAN,20 OZ,12,1277050
477,4400000638,NAB MYSTIC MINT SAND,11.5 O,12,1276000
477,4400000641,NAB CKIES & FDGE PAR,12.5OZ,12,1274210
477,4400000653,NAB MSHMLW TWIRLS,12 OZ,12,1276750
477,4400000655,NABISCO OREO DOUBLE,20 OZ,12,1277540
477,4400000664,GIGGLES VANL SANDWIC,10 OZ,12,1277700
477,4400000665,NAB CHOCOLATE PINWHE,12 OZ,12,1276750
477,4400000674,NABISCO PURE CHOC.MA,8 OZ,12,1275860
477,4400000679,GIGGLES CHOCOLATE SA,10 OZ,12,1277710
477,4400000693,NAB BISCOS WAFFLE CR,10 OZ,12,1276500
477,4400000699,NABISCO   PNT CREAM,10.5OZ,12,1277850
477,4400000716,OREO RF SANDWICH,16 OZ,12,1277640
477,4400000720,NABISCO OREO SANDWIC,20 OZ,12,1277580
477,4400000724,NAB CHEWY CHIPS AHOY,18 OZ,12,1276660
477,4400000924,NAB CKIES N FDG STRP,11.5 O,12,1278030
477,4400002850,VANILLA TEDDY GRAHAM,10 OZ,6,1277760
477,4400003484,COOKIES N FDG STRIPE,9 OZ,12,1278040
477,4400003601,NAB NEWTONS VARIETY,13 OZ,12,1278840
477,4400003619,ALMOST HOME OATMEAL,16 OZ,12,1279270
477,4400003620,ALMOST HOME REAL CHO,16 OZ,12,1279204
477,4400003621,ALMOST HOME OLD FASH,16 OZ,12,1279280
477,4400003630,CHPS AHY CHNKY CHOCO,12.5OZ,12,1276680
477,4400003631,~NAB STRIPED CHIPS A,15.5 O,12,1276670
477,4400003632,NABISCO CHIPS AHOY,36OZ,6,1278400
477,4400003633,CHIPS AHOY FAMILY PA,24 OZ,6,1279300
477,4400003679,NUTTER BUTTER PNT BT,16 OZ,12,1277600
477,4400003680,CAMEO CREME SANDWICH,15.5 O,12,1278060
477,4400003692,SUDDENLY S'MORES GRH,10.5OZ,12,1276760
480,4400003703,SNACKWELLS CLASC GLD,5 OZ,12,1274680
477,4400003706,~SNACKWELL'S DOUBLE,6.25OZ,12,1274910
477,4400003712,CINNAMON RAISIN NUT,16 OZ,12,1278850
477,4400003714,SPRINKLED CHIPS AHOY,14.5 O,12,1276710
